game_id,game_date,away_team,home_team,home_score,away_score,max_period
2020020385,2021-03-06,CBJ,DAL,5,0,3
2020020386,2021-03-06,ANA,COL,4,5,4
2020020387,2021-03-06,MIN,ARI,5,2,3
2020020388,2021-03-06,STL,L.A,4,3,4
2020020389,2021-03-06,VGK,S.J,0,4,3
2020020390,2021-04-05,PHI,BOS,2,3,4
2020020391,2021-03-07,BUF,NYI,5,2,3
2020020392,2021-02-21,N.J,WSH,4,3,3
2020020393,2021-03-07,NYR,PIT,5,1,3
2020020394,2021-03-07,T.B,CHI,3,6,3
2020020395,2021-03-07,OTT,CGY,4,5,5
2020020396,2021-03-08,OTT,EDM,3,2,3
2020020397,2021-03-08,MTL,VAN,2,1,5
2020020398,2021-03-08,VGK,MIN,2,0,3
2020020399,2021-03-08,ARI,COL,2,3,3
2020020400,2021-03-08,L.A,ANA,6,5,4
2020020401,2021-03-09,BOS,NYI,3,2,5
2020020402,2021-03-09,BUF,PHI,6,4,5
2020020403,2021-03-09,N.J,WSH,5,4,4
2020020404,2021-03-09,NSH,CAR,3,2,4
2020020405,2021-03-09,NYR,PIT,4,2,3
2020020406,2021-03-09,FLA,CBJ,2,4,3
2020020407,2021-03-09,T.B,DET,3,4,4
2020020408,2021-03-09,WPG,TOR,3,4,3
2020020409,2021-03-09,CHI,DAL,6,1,3
2020020410,2021-03-10,OTT,EDM,7,1,3
2020020411,2021-03-10,MTL,VAN,1,5,3
2020020412,2021-03-10,VGK,MIN,4,3,3
2020020413,2021-03-10,ARI,COL,2,1,4
2020020414,2021-03-10,L.A,ANA,1,5,3
2020020415,2021-03-11,NYR,BOS,4,0,3
2020020416,2021-03-11,PIT,BUF,2,5,3
2020020417,2021-03-11,N.J,NYI,5,3,3
2020020418,2021-03-11,WSH,PHI,3,5,3
2020020419,2021-03-11,NSH,CAR,5,1,3
2020020420,2021-03-11,FLA,CBJ,4,5,4
2020020421,2021-03-11,T.B,DET,6,4,3
2020020422,2021-03-11,WPG,TOR,4,3,4
2020020423,2021-03-11,MTL,CGY,2,1,3
2020020424,2021-03-11,CHI,DAL,2,4,3
2020020425,2021-03-12,VGK,STL,4,5,4
2020020426,2021-03-12,OTT,EDM,6,2,3
2020020427,2021-03-12,ARI,MIN,4,0,3
2020020428,2021-03-12,L.A,COL,2,0,3
2020020429,2021-03-12,S.J,ANA,0,6,3
2020020430,2021-03-13,NYR,BOS,0,4,3
2020020431,2021-03-13,PIT,BUF,0,3,3
2020020432,2021-03-13,NYI,N.J,2,3,3
2020020433,2021-03-13,WSH,PHI,4,5,3
2020020434,2021-03-13,NSH,T.B,6,3,3
2020020435,2021-03-13,CHI,FLA,4,2,3
2020020436,2021-03-13,DAL,CBJ,4,3,4
2020020437,2021-03-13,VGK,STL,1,5,3
2020020438,2021-03-13,WPG,TOR,2,5,3
2020020439,2021-03-13,MTL,CGY,3,1,3
2020020440,2021-03-13,EDM,VAN,2,1,3
2020020441,2021-03-13,S.J,ANA,1,3,3
2020020442,2021-03-14,CAR,DET,1,2,3
2020020443,2021-03-14,TOR,OTT,4,3,3
2020020444,2021-03-14,ARI,MIN,4,1,3
2020020445,2021-03-14,L.A,COL,4,1,3
2020020446,2021-03-15,PHI,NYR,4,5,4
2020020447,2021-04-27,NYI,WSH,1,0,3
2020020448,2021-03-15,NSH,T.B,1,4,3
2020020449,2021-03-15,CHI,FLA,6,3,3
2020020450,2021-03-15,BOS,PIT,4,1,3
2020020451,2021-03-14,DAL,CBJ,1,2,5
2020020452,2021-03-15,VAN,OTT,2,3,4
2020020453,2021-03-15,MTL,WPG,2,4,3
2020020454,2021-03-15,EDM,CGY,4,3,3
2020020455,2021-03-15,S.J,VGK,2,1,3
2020020456,2021-05-10,STL,L.A,1,2,4
